ID,name,customer_id,state_id,country_id,branch_id,type,street,street2,zip,city,phone,company_name,is_company,customer_rank,education_level_id,kyc_limit_id,tier_id,identification_type_id,region_id,sector_id,customer_industry_id,sex_id,account_officer_id,risk_level_id,global_pep_id,bvn,identification_number,firstname,short_name,lastname,middlename,othername,town,risk_level,internal_category,anti_bribery_file_name,data_protection_file_name,whistle_blowing_file_name,anti_money_laundering_file_name,address,customer_title,gender,marital_status,employment_status,state_residence,nin,customer_rating,origin,first_risk_rating,pep,customer_phone,branch_code,identification_expiry_date,dob,registration_date,company_reg_date,risk_score,is_pep,is_watchlist,is_fep,is_blacklist,global_pep,is_greylist,likely_sanction,likely_pep
partner_1,PINK BRUCE,,1000000001,163,1,contact,,,,,7012345601,,TRUE,0,,,,,,,,,,,,,,,,,,,,high,customer,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
partner_2,ROLLIE JERRY,1000000002,NULL,163,2,contact,,,,,7012345602,,FALSE,0,,,,,,,,,,,,,,,,,,,,high,customer,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
partner_3,GARNETT ORRIN,1000000003,NULL,163,3,contact,,,,,7012345603,,FALSE,0,,,,,,,,,,,,,,,,,,,,low,customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_4,MILO GARY,1000000004,NULL,163,4,contact,,,,,7012345604,,FALSE,0,,,,,,,,,,,,,,,,,,,,low,customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_5,ALFRED TERENCE,1000000005,NULL,163,5,contact,,,,,7012345605,,FALSE,0,,,,,,,,,,,,,,,,,,,,low,customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_6,VERNER LUCIEN,1000000006,NULL,163,6,contact,,,,,7012345606,,FALSE,0,,,,,,,,,,,,,,,,,,,,low,customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_7,COY IDA,1000000007,NULL,163,7,contact,,,,,7012345607,,FALSE,0,,,,,,,,,,,,,,,,,,,,high,customer,,,,,,,,,,,,,,,,,,,,,,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
partner_8,COLUMBUS SID,1000000008,NULL,163,8,private,,,,,7012345608,,FALSE,0,,,,,,,,,,,,,,,,,,,,high,customer,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
partner_9,EMMET VICENTE,1000000009,NULL,163,9,,,,,,7012345609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_10,ELLIS TIM,1000000010,NULL,163,10,,,,,,7012345610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_11,DUDLEY LOVE,1000000011,NULL,163,11,,,,,,7012345611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_12,CLEM BESSIE,1000000012,NULL,163,12,,,,,,7012345612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_13,ELIZABETH WALLACE,1000000013,NULL,163,13,,,,,,7012345613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_14,DOLPHUS JOHNATHAN,1000000014,NULL,163,14,,,,,,7012345614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_15,ABRAM HERBERT,1000000015,NULL,163,15,,,,,,7012345615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_16,BERTRAM ELVIS,1000000016,NULL,163,16,,,,,,7012345616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_17,IRVING LYLE,1000000017,NULL,163,17,,,,,,7012345617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_18,ALBERTO SAMUAL,1000000018,NULL,163,18,,,,,,7012345618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_19,VIRGE EDGAR,1000000019,NULL,163,19,,,,,,7012345619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_20,AUGUSTIN SAMPSON,1000000020,NULL,163,20,,,,,,7012345620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_21,ANSON FRANCES,1000000021,NULL,163,21,,,,,,7012345621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_22,WONG RALPH,1000000022,NULL,163,22,,,,,,7012345622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_23,WILLIE BURTON,1000000023,NULL,163,23,,,,,,7012345623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_24,EZEKIEL ARLIE,1000000024,NULL,163,24,,,,,,7012345624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_25,OREN WAYNE,1000000025,NULL,163,25,,,,,,7012345625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_26,JORDON SHADE,1000000026,NULL,163,26,,,,,,7012345626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_27,LEE ODIE,1000000027,NULL,163,27,,,,,,7012345627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_28,CARY BUD,1000000028,NULL,163,28,,,,,,7012345628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_29,BURT AUTHER,1000000029,NULL,163,29,,,,,,7012345629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_30,RODNEY NEIL,1000000030,NULL,163,30,,,,,,7012345630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_31,EARL LEWIS,1000000031,NULL,163,31,,,,,,7012345631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_32,MAT ANSON,1000000032,NULL,163,32,,,,,,7012345632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_33,ALGERNON PIERRE,1000000033,NULL,163,33,,,,,,7012345633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_34,OSBORNE CYRUS,1000000034,NULL,163,34,,,,,,7012345634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_35,BERRY OTHA,1000000035,NULL,163,35,,,,,,7012345635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_36,LEO SEBASTIAN,1000000036,NULL,163,36,,,,,,7012345636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_37,WATT LEM,1000000037,NULL,163,37,,,,,,7012345637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_38,CHARLS DENNIE,1000000038,NULL,163,38,,,,,,7012345638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_39,HUDSON OLE,1000000039,NULL,163,39,,,,,,7012345639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_40,HELMER AUGUST,1000000040,NULL,163,40,,,,,,7012345640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_41,HILARY CARTER,1000000041,NULL,163,41,,,,,,7012345641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_42,HAROLD OLEN,1000000042,NULL,163,42,,,,,,7012345642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_43,MAURICE EARL,1000000043,NULL,163,43,,,,,,7012345643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_44,DONNIE PHILIP,1000000044,NULL,163,44,,,,,,7012345644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_45,TIMOTHY ALOYSIUS,1000000045,NULL,163,45,,,,,,7012345645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_46,SHERMAN JEWEL,1000000046,NULL,163,46,,,,,,7012345646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_47,ERNEST EMANUEL,1000000047,NULL,163,47,,,,,,7012345647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_48,SOL CICERO,1000000048,NULL,163,48,,,,,,7012345648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_49,TIM LUM,1000000049,NULL,163,49,,,,,,7012345649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_50,LLEWELLYN ENOCH,1000000050,NULL,163,50,,,,,,7012345650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_51,LAURENCE CLIFTON,1000000051,NULL,163,51,,,,,,7012345651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_52,LOUIS FRANKLIN,1000000052,NULL,163,52,,,,,,7012345652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_53,GRANT BENJAMIN,1000000053,NULL,163,53,,,,,,7012345653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_54,ARTIE GRAY,1000000054,NULL,163,54,,,,,,7012345654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_55,BRAD EBB,1000000055,NULL,163,55,,,,,,7012345655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_56,ORLEY PARKER,1000000056,NULL,163,56,,,,,,7012345656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_57,SOL JOSEPHINE,1000000057,NULL,163,57,,,,,,7012345657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_58,HUBERT LLOYD,1000000058,NULL,163,58,,,,,,7012345658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_59,GERHARD BARTON,1000000059,NULL,163,59,,,,,,7012345659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_60,NEWTON BRUCE,1000000060,NULL,163,60,,,,,,7012345660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner_61,BERTON SIM,1000000061,NULL,163,61,,,,,,7012345661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
